	Косинусная мера	Идентификатор обращения	Ответ ЧАВО	Сообщение
19327	0.8919251166425126	00000000-0001-0000-0018-000109998795	Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, на сайте privetmir.ru в разделе «Начисления» и в разделе «Мой профиль».	Спасибо за ожидание. Подробную историю операций, совершенных в рамках Программы лояльности «Мир», можно увидеть в Вашем личном кабинете, в разделе «Начисления» и в разделе «Мой профиль».
19328	0.8629361376376434	00000000-0001-0000-0018-000109998795	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
19492	0.7463834850906419	00000000-0001-0000-0018-000110000617	Чек приходит на адрес электронной почты, указанный в Вашем профиле. Также Вы можете найти его в истории заказов.	"Чек приходит  на адрес электронной почты, указанный в Вашем профиле.

"
19575	0.7630261512394128	00000000-0001-0000-0018-000110001733	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Нужно выбрать АЗС на карте в приложении. Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
19589	0.9566056493330918	00000000-0001-0000-0018-000110001796	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	"Кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.
 "
19590	0.8629361376376434	00000000-0001-0000-0018-000110001796	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	"Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.

"
19608	0.7333279883836661	00000000-0001-0000-0018-000110002007	"Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можете оплачивать топливо на АЗС «Газпромнефть» со своего смартфона. На АЗС с помощью приложения можно: ●	Выбрать колонку; ●	Выбрать вид топлива, количество литров или сумму; ●	Оплатить заказ с помощью банковской карты, Apple Pay или бонусами программы лояльности “Нам по пути”. Сервис Google Pay на данный момент находится в разработке. После заправки Вы получаете информацию о заказе и фискальный чек на электронный адрес Вашей почты, указанный в профиле.  За пределами АЗС Вы можете ●	Просматривать АЗС на карте; ●	Просматривать цены на выбранное топливо; ●	Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, зарегистрироваться в акции “МИР”, выбрать карту лояльности “Нам по пути” по умолчанию для начисления бонусов; ●	Просматривать историю заказов; ●	Просматривать баланс бонусной карты “Нам по пути”."	"Здравствуйте! На АЗС с помощью приложения можно:
-Выбрать колонку
-Выбрать вид топлива, количество литров или сумму, 
-Оплатить заказ с помощью банковской карты, Apple Pay или Google Pay;

После заправки Вы получаете информацию о заказе
и фискальный чек на электронный адрес, указанный в профиле.

За пределами АЗС Вы можете
- Просматривать АЗС на карте;
- Просматривать цены на выбранное топливо;
- Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, указать любимые типы топлива и объем бака своего автомобиля.
"
19609	0.8201141017102208	00000000-0001-0000-0018-000110002007	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак.

"
19618	0.8034453900075986	00000000-0001-0000-0018-000110002050	Обращаем Ваше внимание, что приложение АЗС Go работает по системе «предоплата». Вероятно, Вы залили топливо раньше, чем оплатили заказ в мобильном приложении. В данном случае оплата заправки возможна только на кассе АЗС.  Денежные средства, если они были сняты при заказе, будут возвращены вам на счет. Денежные средства, если они были зарезервированы при оформлении заказа, будут разблокированы для Вас. Сроки разблокировки необходимо уточнить в банке, выпустивший Вашу банковскую карту.	"Обращаем Ваше внимание, что приложение АЗС Go работает по системе «предоплата». Вероятно, вы залили топливо раньше, чем оплатили заказ в мобильном приложении. В данном случае оплата заправки возможна только на кассе АЗС.  
Денежные средства, если они были сняты при заказе, будут возвращены вам на счет. 
"
19627	0.9566056493330918	00000000-0001-0000-0018-000110002156	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	Кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.
19629	0.740740130828393	00000000-0001-0000-0018-000110002156	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Нет. Система расчитана на заправки в таких случаях. Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
19681	0.8629361376376434	00000000-0001-0000-0018-000110002937	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
19692	0.6146804622911209	00000000-0001-0000-0018-000110003016	Назовите, пожалуйста, номер Вашей бонусной карты, я проверю информацию	Укажите мне, пожалуйста, номер Вашей бонусной карты без пробелов.
19720	0.7719094272393158	00000000-0001-0000-0018-000110003448	Нет, таких АЗС нет.	Нет.
19739	0.6268923476480792	00000000-0001-0000-0018-000110003798	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты через форму ОС на сайте gpnbonus.ru.
19805	0.7719094272393158	00000000-0001-0000-0018-000110004694	Нет, таких АЗС нет.	Нет.
19865	0.7630261512394128	00000000-0001-0000-0018-000110005793	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Нужно выбрать АЗС на карте в приложении. Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
19884	0.7408525983376273	3b9f66fa-25c0-46ef-ba6d-01d128c77e96	Бесплатное приложение «Сеть АЗС «Газпромнефть» обеспечивает возможность самостоятельно управлять бонусным счетом карты лояльности «Нам По Пути», находить АЗС на карте и строить маршрут к выбранной АЗС, оценивать качество обслуживания на АЗС, отслеживать акции и предложения, а также быть в курсе цен на топливо на каждой АЗС и производить оплату топлива со своего смартфона. Дополнительно, можно воспользоваться услугами партнеров. ПОДРОБНЕЕ: - Контроль за бонусным балансом и статусом Вашей карты лояльности; - Управление бонусным счетом карты в любое удобное время; - Детализация расходов в подробном списке покупок; - Оплата топлива из приложения; - Просмотр АЗС в удобном формате: на карте или списком; - Построение маршрута к необходимой АЗС; - Просмотр детальной информации о каждой АЗС (адрес, расстояние до АЗС от текущего местоположения, виды реализуемых нефтепродуктов и доступных услуг, карта проезда); - Добавление АЗС в список избранных для еще более удобной навигации. - Оценка АЗС после совершения покупки (НЕ обязательна); - Раздел с актуальными акциями и предложениями; - Счетчик суммы до подтверждения статуса карты; - Информация о вашем профиле: Вы можете редактировать контактные данные, персональные данные, а также подписку на рассылки прямо в мобильном приложении. - объединение карт,активированных с одного номера телефона	"Бесплатное приложение «Сеть АЗС «Газпромнефть» обеспечивает возможность самостоятельно управлять бонусным счетом карты лояльности «Нам По Пути», находить АЗС на карте и строить маршрут к выбранной АЗС, оценивать качество обслуживания на АЗС, отслеживать акции и предложения, а также быть в курсе цен на топливо на каждой АЗС: 
- Контроль за бонусным балансом и статусом Вашей карты лояльности;
- Управление бонусным счетом карты в любое удобное время;
- Детализация расходов в подробном списке покупок;
- Самостоятельная блокировка и разблокировка карты лояльности;
- Просмотр АЗС в удобном формате: на карте или списком;
- Построение маршрута к необходимой АЗС;
- Просмотр детальной информации о каждой АЗС (адрес, расстояние до АЗС от текущего местоположения, виды реализуемых нефтепродуктов и доступных услуг, карта проезда);
- Добавление АЗС в список избранных для еще более удобной навигации.
- Оценка АЗС после совершения покупки (НЕ обязательна);
- Раздел с актуальными акциями и предложениями.
- В приложение на Android добавлен счетчик суммы до подтверждения статуса карты, процента скидки по карте, показ двух ближайших АЗС в виджете.
- Цены на топливо на каждой АЗС. "
19933	0.7010734076510069	00000000-0001-0000-0018-000110006803	Для того чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой картой.	Для того чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт через форму ОС на сайте gpnbonus.ru.
19941	0.8201141017102208	00000000-0001-0000-0018-000110007117	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"
Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
19949	0.8201141017102208	00000000-0001-0000-0018-000110007425	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go: 
1. Остановитесь у свободной топливно-раздаточной колонки 
2. В приложении выберите АЗС, на которой находитесь. 
3. Укажите номер колонки, наименование топлива и объем 
4. Оплатите заказ 
5. Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля 
6. Дождитесь окончания заправки и верните пистолет в бак.


"
19956	0.8629361376376434	00000000-0001-0000-0018-000110007459	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
20023	0.8201141017102208	00000000-0001-0000-0018-000110008880	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак

"
20037	0.7333279883836661	00000000-0001-0000-0018-000110009314	"Мобильное приложение – собственная разработка компании «Газпром нефть». С его помощью Вы можете оплачивать топливо на АЗС «Газпромнефть» со своего смартфона. На АЗС с помощью приложения можно: ●	Выбрать колонку; ●	Выбрать вид топлива, количество литров или сумму; ●	Оплатить заказ с помощью банковской карты, Apple Pay или бонусами программы лояльности “Нам по пути”. Сервис Google Pay на данный момент находится в разработке. После заправки Вы получаете информацию о заказе и фискальный чек на электронный адрес Вашей почты, указанный в профиле.  За пределами АЗС Вы можете ●	Просматривать АЗС на карте; ●	Просматривать цены на выбранное топливо; ●	Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, зарегистрироваться в акции “МИР”, выбрать карту лояльности “Нам по пути” по умолчанию для начисления бонусов; ●	Просматривать историю заказов; ●	Просматривать баланс бонусной карты “Нам по пути”."	"На АЗС с помощью приложения можно:
-Выбрать колонку
-Выбрать вид топлива, количество литров или сумму, 
-Оплатить заказ с помощью банковской карты, Apple Pay или Google Pay;

После заправки Вы получаете информацию о заказе
и фискальный чек на электронный адрес, указанный в профиле.

За пределами АЗС Вы можете
- Просматривать АЗС на карте;
- Просматривать цены на выбранное топливо;
- Редактировать свой профиль: добавить в него номер телефона, адрес электронной почты, привязать банковские карты, указать любимые типы топлива и объем бака своего автомобиля.

"
20044	0.6624510482188706	00000000-0001-0000-0018-000110009395	Установить мобильное приложение «Газпромнефть» (скачать в Google Play, App Store)Зарегистрироваться в программе лояльности «Мир». Это можно сделать двумя способами:на сайте «Привет, МИР» в профиле приложения «Газпромнефть» в разделе «Получить кэшбэк 10%», или нажав на баннер «Стать участником Акции» и указав номер банковской карты «Мир» В приложении «Газпромнефть» добавить карту “Мир” в Способы оплаты Совершить покупку и заправку топлива на сумму не менее 1500 рублей на АЗС сети «Газпромнефть» через мобильное приложение «Газпромнефть» с использованием карты «Мир».	Нет. Нужно установить приложение АЗС.GO (скачать в Google Play, App Store), привязать к нему Вашу карту «Мир», нажать в приложении на баннер «Стать участником Акции» и указать номер карты «Мир». Потом совершить покупку топлива на сумму не менее 1500 рублей на АЗС «Газпромнефть» через мобильное приложение АЗС.GO с использованием карты «Мир». 
20047	0.9770527407013954	00000000-0001-0000-0018-000110009395	Нет, это не обязательно. Но если сотрудник попросит Вас подтвердить оплату, просьба продемонстрировать экран с расшифровкой заказа.	Нет, это не обязательно. Но если сотрудник попросит Вас подтвердить оплату, просьба продемонстрировать экран с расшифровкой заказа.
20071	0.6802083884304073	00000000-0001-0000-0018-000110009770	"Вам необходимо открепить карту от своего номера. Для этого необходимо направить заявление на открепление карты ОЗВУЧИТЬ НЕСКОЛЬКО ВАРИАНТОВ:•	через мессенджер Viber;•	через форму ОС на сайте gpnbonus.ru;•	с помощью онлайн консультанта на сайте;•	с помощью онлайн консультанта в МП;•	отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;•	оставив письменное заявление оператору АЗС.В заявлении на открепление карты должны быть указан номер карты и Ваш номер телефона."	"Спасибо за ожидание. Для того, чтобы убрать старую неактивную карту из виджета в мобильном приложении, Вам необходимо объединить эту карту с новой, активной картой. Для этого необходимо направить заявление на объединение карт:
•         через мессенджер Viber;
•         через форму ОС на сайте gpnbonus.ru;
•         с помощью онлайн консультанта на сайте;
•         с помощью онлайн консультанта в МП;
•         отправив заполненное заявление на адрес электронной почты hl@gpnbonus.ru;
•         оставив письменное заявление оператору АЗС.
В заявлении на объединение карт должны быть указаны:
•         номера всех карт;
•         телефоны, к которым привязаны карты;
•         подпись.
"
20107	0.9465185720015593	00000000-0001-0000-0018-000110010363	Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили.	Спасибо за ожидание. Да, кэшбэк будет начислен. Дело в том, что система расчета может отпускать топливо на суммы только кратно литражу топлива. Минимальное количество топлива, которое может отпустить колонка, равна 10 мл, поэтому заливается литраж кратный 10мл. Также, программное обеспечение настроено таким образом, что заправка не может быть произведена на большую сумму, чем Вы оплатили. 
20111	0.6124357788158671	00000000-0001-0000-0018-000110010572	Разница в стоимости топлива в разных регионах зависит от большого числа факторов, в том числе от уровня затрат на содержание станции и условий, которые она предлагает клиентам. Кроме того, мы регулярно проводим мониторинг цен конкурентов на топливо, в том числе в Вашем регионе. Его результаты показывают соответствие цены топлива на АЗС «Газпромнефть» среднему уровню цен в регионе. Благодарим Вас за внимание к работе сети АЗС «Газпромнефть», будем рады видеть Вас снова.	"Спасибо за ожидание. Разница в стоимости топлива зависит от большого числа факторов, в том числе от уровня затрат на содержание станции и условий, которые она предлагает клиентам. 

"
20128	0.739079430016263	00000000-0001-0000-0018-000110010889	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь "
20176	0.8201141017102208	00000000-0001-0000-0018-000110012095	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
20197	0.9460676616814433	00000000-0001-0000-0018-000110012373	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.	Если Вы используете две карты лояльности, теперь для удобства Вы можете добавить в Ваш аккаунт вторую бонусную карту, при этом обе карты должны быть привязаны к одному и тому же номеру телефона.
20227	0.8072028434265155	00000000-0001-0000-0018-000110013363	Как правило, при выполнении всех условий акции денежное вознаграждение зачисляется в течение 5 рабочих дней с момента проведения оплаты покупки по счету.	Спасибо за ожидание. Как правило, денежное вознаграждение зачисляется в течение 3 рабочих дней с момента проведения оплаты покупки по счету.
20246	0.7684992395766979	00000000-0001-0000-0018-000110013929	"Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС GО: 1.	Остановитесь у свободной топливно-раздаточной колонки 2.	В приложении выберите АЗС, на которой находитесь. 3.	Укажите номер колонки, наименование топлива и объем 4.	Укажите эл. почту для получения чека об оплате 5.	Оплатите заказ 6.	Дождитесь завершения обработки заказа 7.	Не снимайте пистолет до указания помощника в приложении 8.	После одобрения помощником вставьте пистолет в бак автомобиля 9.	Дождитесь окончания заправки и верните пистолет в бак"	"Нужно нажать на АЗС.  Мобильное приложение работает по системе «предоплата». Чтобы заправиться с помощью мобильного приложения АЗС Go:
1.	Остановитесь у свободной топливно-раздаточной колонки
2.	В приложении выберите АЗС, на которой находитесь.
3.	Укажите номер колонки, наименование топлива и объем
4.	Оплатите заказ
5.	Дождитесь завершения обработки заказа и вставьте пистолет в банк автомобиля
6.	Дождитесь окончания заправки и верните пистолет в бак
"
